areaCode,areaName,areaType,date,newCasesBySpecimenDate,newCasesInUK,newCasesAsPercentageOfUK
E08000003,Manchester,ltla,2021-10-02,32,25866,0.123714529
E08000003,Manchester,ltla,2021-10-01,137,28580,0.479356193
E08000003,Manchester,ltla,2021-09-30,183,32002,0.57183926
E08000003,Manchester,ltla,2021-09-29,175,34294,0.510293346
E08000003,Manchester,ltla,2021-09-28,207,35912,0.576409
E08000003,Manchester,ltla,2021-09-27,238,40905,0.581835961
E08000003,Manchester,ltla,2021-09-26,128,31515,0.406155799
E08000003,Manchester,ltla,2021-09-25,109,27854,0.391326201
E08000003,Manchester,ltla,2021-09-24,180,31595,0.569710397
E08000003,Manchester,ltla,2021-09-23,172,35216,0.488414357
E08000003,Manchester,ltla,2021-09-22,176,36149,0.486873772
E08000003,Manchester,ltla,2021-09-21,173,38266,0.452098469
E08000003,Manchester,ltla,2021-09-20,220,40106,0.548546352
E08000003,Manchester,ltla,2021-09-19,138,30544,0.451807229
E08000003,Manchester,ltla,2021-09-18,141,26304,0.536040146
E08000003,Manchester,ltla,2021-09-17,146,29060,0.502408809
E08000003,Manchester,ltla,2021-09-16,200,29176,0.685494927
E08000003,Manchester,ltla,2021-09-15,152,29948,0.507546414
E08000003,Manchester,ltla,2021-09-14,187,30940,0.604395604
E08000003,Manchester,ltla,2021-09-13,189,34118,0.553959787
E08000003,Manchester,ltla,2021-09-12,141,23671,0.595665582
E08000003,Manchester,ltla,2021-09-11,129,23204,0.555938631
E08000003,Manchester,ltla,2021-09-10,181,28727,0.630069273
E08000003,Manchester,ltla,2021-09-09,229,33410,0.685423526
E08000003,Manchester,ltla,2021-09-08,250,35239,0.709441244
E08000003,Manchester,ltla,2021-09-07,240,38020,0.631246712
E08000003,Manchester,ltla,2021-09-06,301,44146,0.681828478
E08000003,Manchester,ltla,2021-09-05,218,31254,0.697510719
E08000003,Manchester,ltla,2021-09-04,200,31365,0.637653435
E08000003,Manchester,ltla,2021-09-03,243,38022,0.639103677
E08000003,Manchester,ltla,2021-09-02,298,41626,0.715898717
E08000003,Manchester,ltla,2021-09-01,302,42836,0.705014474
E08000003,Manchester,ltla,2021-08-31,296,44481,0.665452665
E08000003,Manchester,ltla,2021-08-30,191,34176,0.558871723
E08000003,Manchester,ltla,2021-08-29,161,25697,0.62653228
E08000003,Manchester,ltla,2021-08-28,141,27165,0.519050248
E08000003,Manchester,ltla,2021-08-27,218,33182,0.656982701
E08000003,Manchester,ltla,2021-08-26,257,36985,0.694876301
E08000003,Manchester,ltla,2021-08-25,283,38098,0.742821145
E08000003,Manchester,ltla,2021-08-24,256,37024,0.691443388
E08000003,Manchester,ltla,2021-08-23,255,39042,0.653142769
E08000003,Manchester,ltla,2021-08-22,193,28299,0.682002898
E08000003,Manchester,ltla,2021-08-21,219,28091,0.779609127
E08000003,Manchester,ltla,2021-08-20,237,31673,0.748271398
E08000003,Manchester,ltla,2021-08-19,288,35833,0.803728407
E08000003,Manchester,ltla,2021-08-18,307,38012,0.807639693
E08000003,Manchester,ltla,2021-08-17,263,37188,0.707217382
E08000003,Manchester,ltla,2021-08-16,321,36193,0.886911834
E08000003,Manchester,ltla,2021-08-15,194,24923,0.778397464
E08000003,Manchester,ltla,2021-08-14,199,24646,0.807433255
E08000003,Manchester,ltla,2021-08-13,239,28448,0.840129359
E08000003,Manchester,ltla,2021-08-12,310,31130,0.995823964
E08000003,Manchester,ltla,2021-08-11,292,32739,0.891902624
E08000003,Manchester,ltla,2021-08-10,314,30931,1.015162782
E08000003,Manchester,ltla,2021-08-09,315,31533,0.998953477
E08000003,Manchester,ltla,2021-08-08,210,22418,0.936747257
E08000003,Manchester,ltla,2021-08-07,226,22114,1.021977028
E08000003,Manchester,ltla,2021-08-06,246,27542,0.893181323
E08000003,Manchester,ltla,2021-08-05,302,31082,0.971623448
E08000003,Manchester,ltla,2021-08-04,324,31727,1.021212217
E08000003,Manchester,ltla,2021-08-03,331,29819,1.110030517
E08000003,Manchester,ltla,2021-08-02,335,29276,1.144282006
E08000003,Manchester,ltla,2021-08-01,183,20513,0.892117194
E08000003,Manchester,ltla,2021-07-31,197,20153,0.977521957
E08000003,Manchester,ltla,2021-07-30,248,24283,1.021290615
E08000003,Manchester,ltla,2021-07-29,320,27908,1.146624624
E08000003,Manchester,ltla,2021-07-28,342,29663,1.152951488
E08000003,Manchester,ltla,2021-07-27,274,29046,0.943331268
E08000003,Manchester,ltla,2021-07-26,318,29398,1.081706239
E08000003,Manchester,ltla,2021-07-25,225,21776,1.033247612
E08000003,Manchester,ltla,2021-07-24,218,22481,0.969707753
E08000003,Manchester,ltla,2021-07-23,258,27278,0.945817142
E08000003,Manchester,ltla,2021-07-22,284,30749,0.923607272
E08000003,Manchester,ltla,2021-07-21,350,34930,1.002004008
E08000003,Manchester,ltla,2021-07-20,368,39067,0.941971485
E08000003,Manchester,ltla,2021-07-19,442,46905,0.942330242
E08000003,Manchester,ltla,2021-07-18,307,35504,0.864691302
E08000003,Manchester,ltla,2021-07-17,360,37854,0.951022349
E08000003,Manchester,ltla,2021-07-16,547,54241,1.008462233
E08000003,Manchester,ltla,2021-07-15,535,60764,0.880455533
E08000003,Manchester,ltla,2021-07-14,560,53833,1.040254119
E08000003,Manchester,ltla,2021-07-13,477,46735,1.020648336
E08000003,Manchester,ltla,2021-07-12,430,43648,0.985153959
E08000003,Manchester,ltla,2021-07-11,331,30027,1.102341226
E08000003,Manchester,ltla,2021-07-10,334,27878,1.198077337
E08000003,Manchester,ltla,2021-07-09,381,32222,1.182421948
E08000003,Manchester,ltla,2021-07-08,424,33353,1.271249963
E08000003,Manchester,ltla,2021-07-07,453,37819,1.197810624
E08000003,Manchester,ltla,2021-07-06,430,35367,1.21582266
E08000003,Manchester,ltla,2021-07-05,427,34200,1.248538012
E08000003,Manchester,ltla,2021-07-04,314,24672,1.272697795
E08000003,Manchester,ltla,2021-07-03,324,23567,1.374803751
E08000003,Manchester,ltla,2021-07-02,389,25785,1.508629048
E08000003,Manchester,ltla,2021-07-01,483,28116,1.717883056
E08000003,Manchester,ltla,2021-06-30,495,28331,1.747202711
E08000003,Manchester,ltla,2021-06-29,501,27594,1.81561209
E08000003,Manchester,ltla,2021-06-28,522,27747,1.881284463
E08000003,Manchester,ltla,2021-06-27,303,18128,1.671447485
E08000003,Manchester,ltla,2021-06-26,319,15972,1.997245179
E08000003,Manchester,ltla,2021-06-25,398,17779,2.238596097
E08000003,Manchester,ltla,2021-06-24,377,18300,2.06010929
E08000003,Manchester,ltla,2021-06-23,394,17909,2.200011168
E08000003,Manchester,ltla,2021-06-22,441,17007,2.593049921
E08000003,Manchester,ltla,2021-06-21,408,15958,2.556711367
E08000003,Manchester,ltla,2021-06-20,241,9872,2.441247974
E08000003,Manchester,ltla,2021-06-19,250,8255,3.028467595
E08000003,Manchester,ltla,2021-06-18,294,10053,2.924500149
E08000003,Manchester,ltla,2021-06-17,354,10773,3.28599276
E08000003,Manchester,ltla,2021-06-16,316,10772,2.933531378
E08000003,Manchester,ltla,2021-06-15,340,10504,3.236862148
E08000003,Manchester,ltla,2021-06-14,324,10106,3.206016228
E08000003,Manchester,ltla,2021-06-13,210,6954,3.019844694
E08000003,Manchester,ltla,2021-06-12,206,6116,3.368214519
E08000003,Manchester,ltla,2021-06-11,263,7442,3.533996238
E08000003,Manchester,ltla,2021-06-10,272,7840,3.469387755
E08000003,Manchester,ltla,2021-06-09,267,8002,3.336665834
E08000003,Manchester,ltla,2021-06-08,312,7675,4.06514658
E08000003,Manchester,ltla,2021-06-07,297,7743,3.835722588
E08000003,Manchester,ltla,2021-06-06,182,5405,3.367252544
E08000003,Manchester,ltla,2021-06-05,149,4623,3.223015358
E08000003,Manchester,ltla,2021-06-04,191,5706,3.347353663
E08000003,Manchester,ltla,2021-06-03,230,6100,3.770491803
E08000003,Manchester,ltla,2021-06-02,221,6049,3.653496446
E08000003,Manchester,ltla,2021-06-01,223,5235,4.259789876
E08000003,Manchester,ltla,2021-05-31,143,3781,3.782068236
E08000003,Manchester,ltla,2021-05-30,114,3094,3.684550743
E08000003,Manchester,ltla,2021-05-29,124,2933,4.227753154
E08000003,Manchester,ltla,2021-05-28,108,3490,3.094555874
E08000003,Manchester,ltla,2021-05-27,122,3639,3.352569387
E08000003,Manchester,ltla,2021-05-26,98,3800,2.578947368
E08000003,Manchester,ltla,2021-05-25,96,3308,2.902055623
E08000003,Manchester,ltla,2021-05-24,100,3237,3.089280198
E08000003,Manchester,ltla,2021-05-23,52,2242,2.319357716
E08000003,Manchester,ltla,2021-05-22,40,1926,2.076843198
E08000003,Manchester,ltla,2021-05-21,51,2294,2.223190933
E08000003,Manchester,ltla,2021-05-20,58,2425,2.391752577
E08000003,Manchester,ltla,2021-05-19,50,2713,1.842978253
E08000003,Manchester,ltla,2021-05-18,86,2708,3.17577548
E08000003,Manchester,ltla,2021-05-17,51,2766,1.843817787
E08000003,Manchester,ltla,2021-05-16,31,1853,1.672962763
E08000003,Manchester,ltla,2021-05-15,23,1582,1.453855879
E08000003,Manchester,ltla,2021-05-14,32,1850,1.72972973
E08000003,Manchester,ltla,2021-05-13,24,2096,1.145038168
E08000003,Manchester,ltla,2021-05-12,44,2231,1.972209771
E08000003,Manchester,ltla,2021-05-11,31,2200,1.409090909
E08000003,Manchester,ltla,2021-05-10,61,2658,2.294958616
E08000003,Manchester,ltla,2021-05-09,35,2172,1.611418048
E08000003,Manchester,ltla,2021-05-08,20,1511,1.323626737
E08000003,Manchester,ltla,2021-05-07,25,1883,1.327668614
E08000003,Manchester,ltla,2021-05-06,36,2166,1.662049861
E08000003,Manchester,ltla,2021-05-05,39,2398,1.626355296
E08000003,Manchester,ltla,2021-05-04,35,2405,1.455301455
E08000003,Manchester,ltla,2021-05-03,30,1971,1.522070015
E08000003,Manchester,ltla,2021-05-02,21,1426,1.472650771
E08000003,Manchester,ltla,2021-05-01,22,1356,1.622418879
E08000003,Manchester,ltla,2021-04-30,20,1705,1.173020528
E08000003,Manchester,ltla,2021-04-29,25,2083,1.200192031
E08000003,Manchester,ltla,2021-04-28,34,2360,1.440677966
E08000003,Manchester,ltla,2021-04-27,31,2058,1.506316812
E08000003,Manchester,ltla,2021-04-26,26,2444,1.063829787
E08000003,Manchester,ltla,2021-04-25,28,1992,1.40562249
E08000003,Manchester,ltla,2021-04-24,18,1464,1.229508197
E08000003,Manchester,ltla,2021-04-23,19,1891,1.004759387
E08000003,Manchester,ltla,2021-04-22,28,2254,1.242236025
E08000003,Manchester,ltla,2021-04-21,39,2543,1.533621707
E08000003,Manchester,ltla,2021-04-20,43,2367,1.816645543
E08000003,Manchester,ltla,2021-04-19,38,2602,1.460415065
E08000003,Manchester,ltla,2021-04-18,48,2438,1.968826907
E08000003,Manchester,ltla,2021-04-17,31,1638,1.892551893
E08000003,Manchester,ltla,2021-04-16,38,2353,1.614959626
E08000003,Manchester,ltla,2021-04-15,34,2187,1.554641061
E08000003,Manchester,ltla,2021-04-14,23,2405,0.956340956
E08000003,Manchester,ltla,2021-04-13,46,2334,1.970865467
E08000003,Manchester,ltla,2021-04-12,54,2714,1.989683125
E08000003,Manchester,ltla,2021-04-11,32,2258,1.417183348
E08000003,Manchester,ltla,2021-04-10,37,2259,1.637892873
E08000003,Manchester,ltla,2021-04-09,55,2785,1.97486535
E08000003,Manchester,ltla,2021-04-08,50,2982,1.676727029
E08000003,Manchester,ltla,2021-04-07,46,3082,1.492537313
E08000003,Manchester,ltla,2021-04-06,43,3117,1.379531601
E08000003,Manchester,ltla,2021-04-05,38,2617,1.452044326
E08000003,Manchester,ltla,2021-04-04,31,2293,1.351940689
E08000003,Manchester,ltla,2021-04-03,27,2404,1.12312812
E08000003,Manchester,ltla,2021-04-02,46,2625,1.752380952
E08000003,Manchester,ltla,2021-04-01,56,3472,1.612903226
E08000003,Manchester,ltla,2021-03-31,51,3771,1.352426412
E08000003,Manchester,ltla,2021-03-30,66,3596,1.835372636
E08000003,Manchester,ltla,2021-03-29,71,3968,1.789314516
E08000003,Manchester,ltla,2021-03-28,64,4658,1.373980249
E08000003,Manchester,ltla,2021-03-27,50,3541,1.4120305
E08000003,Manchester,ltla,2021-03-26,78,4391,1.776360738
E08000003,Manchester,ltla,2021-03-25,78,5402,1.443909663
E08000003,Manchester,ltla,2021-03-24,99,6015,1.645885287
E08000003,Manchester,ltla,2021-03-23,71,5262,1.349296845
E08000003,Manchester,ltla,2021-03-22,90,6203,1.45091085
E08000003,Manchester,ltla,2021-03-21,77,5233,1.471431301
E08000003,Manchester,ltla,2021-03-20,65,4102,1.584592882
E08000003,Manchester,ltla,2021-03-19,63,4997,1.260756454
E08000003,Manchester,ltla,2021-03-18,63,5477,1.150264743
E08000003,Manchester,ltla,2021-03-17,65,5770,1.126516464
E08000003,Manchester,ltla,2021-03-16,84,5675,1.480176211
E08000003,Manchester,ltla,2021-03-15,96,6504,1.47601476
E08000003,Manchester,ltla,2021-03-14,59,4301,1.371774006
E08000003,Manchester,ltla,2021-03-13,60,4246,1.413094677
E08000003,Manchester,ltla,2021-03-12,72,5590,1.288014311
E08000003,Manchester,ltla,2021-03-11,69,5770,1.195840555
E08000003,Manchester,ltla,2021-03-10,96,6038,1.589930441
E08000003,Manchester,ltla,2021-03-09,81,6228,1.300578035
E08000003,Manchester,ltla,2021-03-08,84,6643,1.264488936
E08000003,Manchester,ltla,2021-03-07,54,4284,1.260504202
E08000003,Manchester,ltla,2021-03-06,57,4505,1.265260821
E08000003,Manchester,ltla,2021-03-05,57,5299,1.075674656
E08000003,Manchester,ltla,2021-03-04,66,5726,1.152637094
E08000003,Manchester,ltla,2021-03-03,60,5974,1.004352193
E08000003,Manchester,ltla,2021-03-02,83,6655,1.247182569
E08000003,Manchester,ltla,2021-03-01,54,6875,0.785454545
E08000003,Manchester,ltla,2021-02-28,42,4714,0.890963089
E08000003,Manchester,ltla,2021-02-27,73,4815,1.516095535
E08000003,Manchester,ltla,2021-02-26,98,6565,1.492764661
E08000003,Manchester,ltla,2021-02-25,86,7721,1.113845357
E08000003,Manchester,ltla,2021-02-24,100,8544,1.170411985
E08000003,Manchester,ltla,2021-02-23,96,9380,1.023454158
E08000003,Manchester,ltla,2021-02-22,134,11240,1.192170819
E08000003,Manchester,ltla,2021-02-21,126,7868,1.601423488
E08000003,Manchester,ltla,2021-02-20,113,8053,1.403203775
E08000003,Manchester,ltla,2021-02-19,129,10384,1.24229584
E08000003,Manchester,ltla,2021-02-18,106,11411,0.928928227
E08000003,Manchester,ltla,2021-02-17,160,11561,1.383963325
E08000003,Manchester,ltla,2021-02-16,163,12483,1.305775855
E08000003,Manchester,ltla,2021-02-15,161,14267,1.128478307
E08000003,Manchester,ltla,2021-02-14,123,8753,1.405232492
E08000003,Manchester,ltla,2021-02-13,96,8758,1.096140671
E08000003,Manchester,ltla,2021-02-12,142,12162,1.167571123
E08000003,Manchester,ltla,2021-02-11,183,12737,1.436759048
E08000003,Manchester,ltla,2021-02-10,137,13480,1.016320475
E08000003,Manchester,ltla,2021-02-09,150,13796,1.087271673
E08000003,Manchester,ltla,2021-02-08,186,15704,1.184411615
E08000003,Manchester,ltla,2021-02-07,135,11373,1.187021894
E08000003,Manchester,ltla,2021-02-06,124,11957,1.037049427
E08000003,Manchester,ltla,2021-02-05,158,15844,0.997222924
E08000003,Manchester,ltla,2021-02-04,232,17955,1.292119187
E08000003,Manchester,ltla,2021-02-03,200,19393,1.031299954
E08000003,Manchester,ltla,2021-02-02,208,19752,1.053057918
E08000003,Manchester,ltla,2021-02-01,253,22326,1.133207919
E08000003,Manchester,ltla,2021-01-31,168,15365,1.093394077
E08000003,Manchester,ltla,2021-01-30,199,16665,1.194119412
E08000003,Manchester,ltla,2021-01-29,237,21767,1.088804153
E08000003,Manchester,ltla,2021-01-28,227,24131,0.940698686
E08000003,Manchester,ltla,2021-01-27,242,25669,0.942771436
E08000003,Manchester,ltla,2021-01-26,257,26964,0.953122682
E08000003,Manchester,ltla,2021-01-25,286,29897,0.956617721
E08000003,Manchester,ltla,2021-01-24,200,17151,1.166112763
E08000003,Manchester,ltla,2021-01-23,182,21818,0.834173618
E08000003,Manchester,ltla,2021-01-22,265,29516,0.897818133
E08000003,Manchester,ltla,2021-01-21,275,31648,0.868933266
E08000003,Manchester,ltla,2021-01-20,277,35064,0.789984029
E08000003,Manchester,ltla,2021-01-19,317,39454,0.803467329
E08000003,Manchester,ltla,2021-01-18,311,44755,0.694894425
E08000003,Manchester,ltla,2021-01-17,271,28836,0.939797475
E08000003,Manchester,ltla,2021-01-16,266,30518,0.871616751
E08000003,Manchester,ltla,2021-01-15,330,40374,0.817357705
E08000003,Manchester,ltla,2021-01-14,378,42374,0.89205645
E08000003,Manchester,ltla,2021-01-13,349,45389,0.768908766
E08000003,Manchester,ltla,2021-01-12,377,49365,0.763698977
E08000003,Manchester,ltla,2021-01-11,452,57093,0.79169075
E08000003,Manchester,ltla,2021-01-10,321,36330,0.8835673
E08000003,Manchester,ltla,2021-01-09,281,39081,0.719019472
E08000003,Manchester,ltla,2021-01-08,343,46975,0.730175625
E08000003,Manchester,ltla,2021-01-07,376,51949,0.723786791
E08000003,Manchester,ltla,2021-01-06,402,57374,0.700665807
E08000003,Manchester,ltla,2021-01-05,529,65078,0.812870709
E08000003,Manchester,ltla,2021-01-04,472,76146,0.619861844
E08000003,Manchester,ltla,2021-01-03,383,55162,0.694318553
E08000003,Manchester,ltla,2021-01-02,318,60421,0.526307079
E08000003,Manchester,ltla,2021-01-01,171,31831,0.537212152
E08000003,Manchester,ltla,2020-12-31,308,52781,0.583543321
E08000003,Manchester,ltla,2020-12-30,357,70746,0.504622169
E08000003,Manchester,ltla,2020-12-29,351,81483,0.430764699
E08000003,Manchester,ltla,2020-12-28,262,45573,0.574901806
E08000003,Manchester,ltla,2020-12-27,213,47689,0.44664388
E08000003,Manchester,ltla,2020-12-26,145,40365,0.359222098
E08000003,Manchester,ltla,2020-12-25,62,14170,0.437544107
E08000003,Manchester,ltla,2020-12-24,143,31799,0.449699676
E08000003,Manchester,ltla,2020-12-23,152,42161,0.360522758
E08000003,Manchester,ltla,2020-12-22,185,45650,0.405257393
E08000003,Manchester,ltla,2020-12-21,218,47360,0.460304054
E08000003,Manchester,ltla,2020-12-20,155,32441,0.47779045
E08000003,Manchester,ltla,2020-12-19,107,25141,0.425599618
E08000003,Manchester,ltla,2020-12-18,172,35829,0.480058054
E08000003,Manchester,ltla,2020-12-17,140,33892,0.413076832
E08000003,Manchester,ltla,2020-12-16,163,34902,0.467021947
E08000003,Manchester,ltla,2020-12-15,156,33832,0.461101915
E08000003,Manchester,ltla,2020-12-14,187,34697,0.538951494
E08000003,Manchester,ltla,2020-12-13,103,21980,0.468607825
E08000003,Manchester,ltla,2020-12-12,90,19350,0.465116279
E08000003,Manchester,ltla,2020-12-11,123,24048,0.511477046
E08000003,Manchester,ltla,2020-12-10,139,22599,0.615071463
E08000003,Manchester,ltla,2020-12-09,162,21602,0.749930562
E08000003,Manchester,ltla,2020-12-08,177,20775,0.85198556
E08000003,Manchester,ltla,2020-12-07,171,21317,0.802176667
E08000003,Manchester,ltla,2020-12-06,99,13573,0.729389229
E08000003,Manchester,ltla,2020-12-05,100,12730,0.785545954
E08000003,Manchester,ltla,2020-12-04,124,15656,0.792028615
E08000003,Manchester,ltla,2020-12-03,128,15625,0.8192
E08000003,Manchester,ltla,2020-12-02,159,16475,0.965098634
E08000003,Manchester,ltla,2020-12-01,181,16445,1.100638492
E08000003,Manchester,ltla,2020-11-30,158,18002,0.877680258
E08000003,Manchester,ltla,2020-11-29,91,10679,0.852139713
E08000003,Manchester,ltla,2020-11-28,95,10959,0.866867415
E08000003,Manchester,ltla,2020-11-27,135,14367,0.939653372
E08000003,Manchester,ltla,2020-11-26,161,14565,1.105389633
E08000003,Manchester,ltla,2020-11-25,160,16609,0.963333133
E08000003,Manchester,ltla,2020-11-24,169,16450,1.027355623
E08000003,Manchester,ltla,2020-11-23,185,18766,0.985825429
E08000003,Manchester,ltla,2020-11-22,141,11731,1.201943568
E08000003,Manchester,ltla,2020-11-21,114,12348,0.923226433
E08000003,Manchester,ltla,2020-11-20,193,16842,1.145944662
E08000003,Manchester,ltla,2020-11-19,190,17744,1.070784491
E08000003,Manchester,ltla,2020-11-18,229,20745,1.103880453
E08000003,Manchester,ltla,2020-11-17,224,23156,0.967351874
E08000003,Manchester,ltla,2020-11-16,282,26569,1.061387331
E08000003,Manchester,ltla,2020-11-15,178,16019,1.111180473
E08000003,Manchester,ltla,2020-11-14,206,17987,1.145271585
E08000003,Manchester,ltla,2020-11-13,290,24025,1.207075963
E08000003,Manchester,ltla,2020-11-12,291,24459,1.189746106
E08000003,Manchester,ltla,2020-11-11,350,27346,1.279894683
E08000003,Manchester,ltla,2020-11-10,329,27408,1.200379451
E08000003,Manchester,ltla,2020-11-09,374,31041,1.204858091
E08000003,Manchester,ltla,2020-11-08,246,19953,1.232897309
E08000003,Manchester,ltla,2020-11-07,245,18513,1.323394372
