areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-12-09,21602
K02000001,United Kingdom,overview,2020-12-08,20775
K02000001,United Kingdom,overview,2020-12-07,21317
K02000001,United Kingdom,overview,2020-12-06,13573
K02000001,United Kingdom,overview,2020-12-05,12730
K02000001,United Kingdom,overview,2020-12-04,15656
K02000001,United Kingdom,overview,2020-12-03,15625
K02000001,United Kingdom,overview,2020-12-02,16475
K02000001,United Kingdom,overview,2020-12-01,16445
K02000001,United Kingdom,overview,2020-11-30,18002
K02000001,United Kingdom,overview,2020-11-29,10679
K02000001,United Kingdom,overview,2020-11-28,10959
K02000001,United Kingdom,overview,2020-11-27,14367
K02000001,United Kingdom,overview,2020-11-26,14565
K02000001,United Kingdom,overview,2020-11-25,16609
K02000001,United Kingdom,overview,2020-11-24,16450
K02000001,United Kingdom,overview,2020-11-23,18766
K02000001,United Kingdom,overview,2020-11-22,11731
K02000001,United Kingdom,overview,2020-11-21,12348
K02000001,United Kingdom,overview,2020-11-20,16842
K02000001,United Kingdom,overview,2020-11-19,17744
K02000001,United Kingdom,overview,2020-11-18,20745
K02000001,United Kingdom,overview,2020-11-17,23156
K02000001,United Kingdom,overview,2020-11-16,26569
K02000001,United Kingdom,overview,2020-11-15,16019
K02000001,United Kingdom,overview,2020-11-14,17987
K02000001,United Kingdom,overview,2020-11-13,24025
K02000001,United Kingdom,overview,2020-11-12,24459
K02000001,United Kingdom,overview,2020-11-11,27346
K02000001,United Kingdom,overview,2020-11-10,27408
K02000001,United Kingdom,overview,2020-11-09,31041
K02000001,United Kingdom,overview,2020-11-08,19953
K02000001,United Kingdom,overview,2020-11-07,18513
K02000001,United Kingdom,overview,2020-11-06,23321
K02000001,United Kingdom,overview,2020-11-05,23732
K02000001,United Kingdom,overview,2020-11-04,23670
K02000001,United Kingdom,overview,2020-11-03,25576
K02000001,United Kingdom,overview,2020-11-02,31504
K02000001,United Kingdom,overview,2020-11-01,15749
K02000001,United Kingdom,overview,2020-10-31,16478
K02000001,United Kingdom,overview,2020-10-30,22648
K02000001,United Kingdom,overview,2020-10-29,23330
K02000001,United Kingdom,overview,2020-10-28,23603
K02000001,United Kingdom,overview,2020-10-27,24077
K02000001,United Kingdom,overview,2020-10-26,26537
K02000001,United Kingdom,overview,2020-10-25,15716
K02000001,United Kingdom,overview,2020-10-24,16221
K02000001,United Kingdom,overview,2020-10-23,21450
K02000001,United Kingdom,overview,2020-10-22,23221
K02000001,United Kingdom,overview,2020-10-21,25418
K02000001,United Kingdom,overview,2020-10-20,25304
K02000001,United Kingdom,overview,2020-10-19,25599
K02000001,United Kingdom,overview,2020-10-18,14184
K02000001,United Kingdom,overview,2020-10-17,14748
K02000001,United Kingdom,overview,2020-10-16,17703
K02000001,United Kingdom,overview,2020-10-15,18416
K02000001,United Kingdom,overview,2020-10-14,19687
K02000001,United Kingdom,overview,2020-10-13,18877
K02000001,United Kingdom,overview,2020-10-12,19416
K02000001,United Kingdom,overview,2020-10-11,12056
K02000001,United Kingdom,overview,2020-10-10,12499
K02000001,United Kingdom,overview,2020-10-09,15712
K02000001,United Kingdom,overview,2020-10-08,18223
K02000001,United Kingdom,overview,2020-10-07,18304
K02000001,United Kingdom,overview,2020-10-06,17046
K02000001,United Kingdom,overview,2020-10-05,16540
K02000001,United Kingdom,overview,2020-10-04,11793
K02000001,United Kingdom,overview,2020-10-03,11519
K02000001,United Kingdom,overview,2020-10-02,13680
K02000001,United Kingdom,overview,2020-10-01,13182
K02000001,United Kingdom,overview,2020-09-30,12554
K02000001,United Kingdom,overview,2020-09-29,10224
K02000001,United Kingdom,overview,2020-09-28,9918
K02000001,United Kingdom,overview,2020-09-27,6970
K02000001,United Kingdom,overview,2020-09-26,6744
K02000001,United Kingdom,overview,2020-09-25,7235
K02000001,United Kingdom,overview,2020-09-24,7600
K02000001,United Kingdom,overview,2020-09-23,7048
K02000001,United Kingdom,overview,2020-09-22,6399
K02000001,United Kingdom,overview,2020-09-21,5595
K02000001,United Kingdom,overview,2020-09-20,5313
K02000001,United Kingdom,overview,2020-09-19,4845
K02000001,United Kingdom,overview,2020-09-18,4953
K02000001,United Kingdom,overview,2020-09-17,4617
K02000001,United Kingdom,overview,2020-09-16,4348
K02000001,United Kingdom,overview,2020-09-15,3537
K02000001,United Kingdom,overview,2020-09-14,3379
K02000001,United Kingdom,overview,2020-09-13,2129
K02000001,United Kingdom,overview,2020-09-12,2655
K02000001,United Kingdom,overview,2020-09-11,3280
K02000001,United Kingdom,overview,2020-09-10,3578
K02000001,United Kingdom,overview,2020-09-09,3328
K02000001,United Kingdom,overview,2020-09-08,3303
K02000001,United Kingdom,overview,2020-09-07,3857
K02000001,United Kingdom,overview,2020-09-06,2440
K02000001,United Kingdom,overview,2020-09-05,2540
K02000001,United Kingdom,overview,2020-09-04,3037
K02000001,United Kingdom,overview,2020-09-03,3094
K02000001,United Kingdom,overview,2020-09-02,2994
K02000001,United Kingdom,overview,2020-09-01,2249
K02000001,United Kingdom,overview,2020-08-31,1500
K02000001,United Kingdom,overview,2020-08-30,1159
K02000001,United Kingdom,overview,2020-08-29,1220
K02000001,United Kingdom,overview,2020-08-28,1623
K02000001,United Kingdom,overview,2020-08-27,1549
K02000001,United Kingdom,overview,2020-08-26,1348
K02000001,United Kingdom,overview,2020-08-25,1245
K02000001,United Kingdom,overview,2020-08-24,1272
K02000001,United Kingdom,overview,2020-08-23,825
K02000001,United Kingdom,overview,2020-08-22,824
K02000001,United Kingdom,overview,2020-08-21,1197
K02000001,United Kingdom,overview,2020-08-20,1459
K02000001,United Kingdom,overview,2020-08-19,1240
K02000001,United Kingdom,overview,2020-08-18,1082
K02000001,United Kingdom,overview,2020-08-17,1278
K02000001,United Kingdom,overview,2020-08-16,598
K02000001,United Kingdom,overview,2020-08-15,693
K02000001,United Kingdom,overview,2020-08-14,1161
K02000001,United Kingdom,overview,2020-08-13,1139
K02000001,United Kingdom,overview,2020-08-12,1206
K02000001,United Kingdom,overview,2020-08-11,1340
K02000001,United Kingdom,overview,2020-08-10,1468
K02000001,United Kingdom,overview,2020-08-09,614
K02000001,United Kingdom,overview,2020-08-08,695
K02000001,United Kingdom,overview,2020-08-07,944
K02000001,United Kingdom,overview,2020-08-06,1080
K02000001,United Kingdom,overview,2020-08-05,1057
K02000001,United Kingdom,overview,2020-08-04,1018
K02000001,United Kingdom,overview,2020-08-03,1035
K02000001,United Kingdom,overview,2020-08-02,554
K02000001,United Kingdom,overview,2020-08-01,543
K02000001,United Kingdom,overview,2020-07-31,677
K02000001,United Kingdom,overview,2020-07-30,925
K02000001,United Kingdom,overview,2020-07-29,1037
K02000001,United Kingdom,overview,2020-07-28,841
K02000001,United Kingdom,overview,2020-07-27,855
K02000001,United Kingdom,overview,2020-07-26,558
K02000001,United Kingdom,overview,2020-07-25,523
K02000001,United Kingdom,overview,2020-07-24,773
K02000001,United Kingdom,overview,2020-07-23,794
K02000001,United Kingdom,overview,2020-07-22,794
K02000001,United Kingdom,overview,2020-07-21,781
K02000001,United Kingdom,overview,2020-07-20,812
K02000001,United Kingdom,overview,2020-07-19,443
K02000001,United Kingdom,overview,2020-07-18,497
K02000001,United Kingdom,overview,2020-07-17,580
K02000001,United Kingdom,overview,2020-07-16,706
K02000001,United Kingdom,overview,2020-07-15,774
K02000001,United Kingdom,overview,2020-07-14,693
K02000001,United Kingdom,overview,2020-07-13,733
K02000001,United Kingdom,overview,2020-07-12,369
K02000001,United Kingdom,overview,2020-07-11,446
K02000001,United Kingdom,overview,2020-07-10,566
K02000001,United Kingdom,overview,2020-07-09,718
K02000001,United Kingdom,overview,2020-07-08,702
K02000001,United Kingdom,overview,2020-07-07,604
K02000001,United Kingdom,overview,2020-07-06,703
K02000001,United Kingdom,overview,2020-07-05,556
K02000001,United Kingdom,overview,2020-07-04,401
K02000001,United Kingdom,overview,2020-07-03,574
K02000001,United Kingdom,overview,2020-07-02,608
K02000001,United Kingdom,overview,2020-07-01,657
K02000001,United Kingdom,overview,2020-06-30,617
K02000001,United Kingdom,overview,2020-06-29,729
K02000001,United Kingdom,overview,2020-06-28,446
K02000001,United Kingdom,overview,2020-06-27,652
K02000001,United Kingdom,overview,2020-06-26,669
K02000001,United Kingdom,overview,2020-06-25,721
K02000001,United Kingdom,overview,2020-06-24,775
K02000001,United Kingdom,overview,2020-06-23,888
K02000001,United Kingdom,overview,2020-06-22,894
K02000001,United Kingdom,overview,2020-06-21,638
K02000001,United Kingdom,overview,2020-06-20,686
K02000001,United Kingdom,overview,2020-06-19,994
K02000001,United Kingdom,overview,2020-06-18,1025
K02000001,United Kingdom,overview,2020-06-17,1012
K02000001,United Kingdom,overview,2020-06-16,1104
K02000001,United Kingdom,overview,2020-06-15,1041
K02000001,United Kingdom,overview,2020-06-14,819
K02000001,United Kingdom,overview,2020-06-13,887
K02000001,United Kingdom,overview,2020-06-12,1060
K02000001,United Kingdom,overview,2020-06-11,1010
K02000001,United Kingdom,overview,2020-06-10,1191
K02000001,United Kingdom,overview,2020-06-09,1155
K02000001,United Kingdom,overview,2020-06-08,1096
K02000001,United Kingdom,overview,2020-06-07,722
K02000001,United Kingdom,overview,2020-06-06,806
K02000001,United Kingdom,overview,2020-06-05,1125
K02000001,United Kingdom,overview,2020-06-04,1251
K02000001,United Kingdom,overview,2020-06-03,1356
K02000001,United Kingdom,overview,2020-06-02,1485
K02000001,United Kingdom,overview,2020-06-01,1439
K02000001,United Kingdom,overview,2020-05-31,1082
K02000001,United Kingdom,overview,2020-05-30,1118
K02000001,United Kingdom,overview,2020-05-29,1527
K02000001,United Kingdom,overview,2020-05-28,1754
K02000001,United Kingdom,overview,2020-05-27,1826
K02000001,United Kingdom,overview,2020-05-26,2057
K02000001,United Kingdom,overview,2020-05-25,1616
K02000001,United Kingdom,overview,2020-05-24,1364
K02000001,United Kingdom,overview,2020-05-23,1527
K02000001,United Kingdom,overview,2020-05-22,2052
K02000001,United Kingdom,overview,2020-05-21,2566
K02000001,United Kingdom,overview,2020-05-20,2701
K02000001,United Kingdom,overview,2020-05-19,3049
K02000001,United Kingdom,overview,2020-05-18,2575
K02000001,United Kingdom,overview,2020-05-17,1835
K02000001,United Kingdom,overview,2020-05-16,2074
K02000001,United Kingdom,overview,2020-05-15,2525
K02000001,United Kingdom,overview,2020-05-14,2622
K02000001,United Kingdom,overview,2020-05-13,3308
K02000001,United Kingdom,overview,2020-05-12,3388
K02000001,United Kingdom,overview,2020-05-11,3576
K02000001,United Kingdom,overview,2020-05-10,2322
K02000001,United Kingdom,overview,2020-05-09,2164
K02000001,United Kingdom,overview,2020-05-08,3064
K02000001,United Kingdom,overview,2020-05-07,3772
K02000001,United Kingdom,overview,2020-05-06,3817
K02000001,United Kingdom,overview,2020-05-05,3667
K02000001,United Kingdom,overview,2020-05-04,3391
K02000001,United Kingdom,overview,2020-05-03,2988
K02000001,United Kingdom,overview,2020-05-02,3230
K02000001,United Kingdom,overview,2020-05-01,4734
K02000001,United Kingdom,overview,2020-04-30,4956
K02000001,United Kingdom,overview,2020-04-29,5422
K02000001,United Kingdom,overview,2020-04-28,4714
K02000001,United Kingdom,overview,2020-04-27,4705
K02000001,United Kingdom,overview,2020-04-26,3468
K02000001,United Kingdom,overview,2020-04-25,3741
K02000001,United Kingdom,overview,2020-04-24,4947
K02000001,United Kingdom,overview,2020-04-23,5145
K02000001,United Kingdom,overview,2020-04-22,5483
K02000001,United Kingdom,overview,2020-04-21,4764
K02000001,United Kingdom,overview,2020-04-20,4413
K02000001,United Kingdom,overview,2020-04-19,3852
K02000001,United Kingdom,overview,2020-04-18,4700
K02000001,United Kingdom,overview,2020-04-17,4933
K02000001,United Kingdom,overview,2020-04-16,5272
K02000001,United Kingdom,overview,2020-04-15,5041
K02000001,United Kingdom,overview,2020-04-14,4298
K02000001,United Kingdom,overview,2020-04-13,4167
K02000001,United Kingdom,overview,2020-04-12,3476
K02000001,United Kingdom,overview,2020-04-11,3555
K02000001,United Kingdom,overview,2020-04-10,4310
K02000001,United Kingdom,overview,2020-04-09,4853
K02000001,United Kingdom,overview,2020-04-08,5116
K02000001,United Kingdom,overview,2020-04-07,5431
K02000001,United Kingdom,overview,2020-04-06,5258
K02000001,United Kingdom,overview,2020-04-05,3584
K02000001,United Kingdom,overview,2020-04-04,4009
K02000001,United Kingdom,overview,2020-04-03,4889
K02000001,United Kingdom,overview,2020-04-02,4855
K02000001,United Kingdom,overview,2020-04-01,4933
K02000001,United Kingdom,overview,2020-03-31,4513
K02000001,United Kingdom,overview,2020-03-30,4260
K02000001,United Kingdom,overview,2020-03-29,2855
K02000001,United Kingdom,overview,2020-03-28,2815
K02000001,United Kingdom,overview,2020-03-27,3184
K02000001,United Kingdom,overview,2020-03-26,3084
K02000001,United Kingdom,overview,2020-03-25,2688
K02000001,United Kingdom,overview,2020-03-24,2371
K02000001,United Kingdom,overview,2020-03-23,2324
K02000001,United Kingdom,overview,2020-03-22,1373
K02000001,United Kingdom,overview,2020-03-21,1194
K02000001,United Kingdom,overview,2020-03-20,1260
K02000001,United Kingdom,overview,2020-03-19,1048
K02000001,United Kingdom,overview,2020-03-18,991
K02000001,United Kingdom,overview,2020-03-17,788
K02000001,United Kingdom,overview,2020-03-16,601
K02000001,United Kingdom,overview,2020-03-15,441
K02000001,United Kingdom,overview,2020-03-14,362
K02000001,United Kingdom,overview,2020-03-13,480
K02000001,United Kingdom,overview,2020-03-12,482
K02000001,United Kingdom,overview,2020-03-11,403
K02000001,United Kingdom,overview,2020-03-10,266
K02000001,United Kingdom,overview,2020-03-09,147
K02000001,United Kingdom,overview,2020-03-08,57
K02000001,United Kingdom,overview,2020-03-07,68
K02000001,United Kingdom,overview,2020-03-06,81
K02000001,United Kingdom,overview,2020-03-05,50
K02000001,United Kingdom,overview,2020-03-04,56
K02000001,United Kingdom,overview,2020-03-03,57
K02000001,United Kingdom,overview,2020-03-02,39
K02000001,United Kingdom,overview,2020-03-01,22
K02000001,United Kingdom,overview,2020-02-29,5
K02000001,United Kingdom,overview,2020-02-28,12
K02000001,United Kingdom,overview,2020-02-27,8
K02000001,United Kingdom,overview,2020-02-26,4
K02000001,United Kingdom,overview,2020-02-25,5
K02000001,United Kingdom,overview,2020-02-24,2
K02000001,United Kingdom,overview,2020-02-23,1
K02000001,United Kingdom,overview,2020-02-22,0
K02000001,United Kingdom,overview,2020-02-21,1
K02000001,United Kingdom,overview,2020-02-20,0
K02000001,United Kingdom,overview,2020-02-19,0
K02000001,United Kingdom,overview,2020-02-18,0
K02000001,United Kingdom,overview,2020-02-17,0
K02000001,United Kingdom,overview,2020-02-16,0
K02000001,United Kingdom,overview,2020-02-15,0
K02000001,United Kingdom,overview,2020-02-14,0
K02000001,United Kingdom,overview,2020-02-13,0
K02000001,United Kingdom,overview,2020-02-12,0
K02000001,United Kingdom,overview,2020-02-11,1
K02000001,United Kingdom,overview,2020-02-10,0
K02000001,United Kingdom,overview,2020-02-09,1
K02000001,United Kingdom,overview,2020-02-08,4
K02000001,United Kingdom,overview,2020-02-07,0
K02000001,United Kingdom,overview,2020-02-06,0
K02000001,United Kingdom,overview,2020-02-05,1
K02000001,United Kingdom,overview,2020-02-04,0
K02000001,United Kingdom,overview,2020-02-03,0
K02000001,United Kingdom,overview,2020-02-02,0
K02000001,United Kingdom,overview,2020-02-01,0
K02000001,United Kingdom,overview,2020-01-31,0
K02000001,United Kingdom,overview,2020-01-30,2
